year,annual_mean_temp,model
1953,11.06,HiRAM_SIT_HR
1954,10.013698630136986,HiRAM_SIT_HR
1955,10.808219178082192,HiRAM_SIT_HR
1956,10.56584699453552,HiRAM_SIT_HR
1957,10.291506849315068,HiRAM_SIT_HR
1958,11.11068493150685,HiRAM_SIT_HR
1959,11.516712328767124,HiRAM_SIT_HR
1960,10.690437158469944,HiRAM_SIT_HR
1961,11.284931506849315,HiRAM_SIT_HR
1962,11.213972602739727,HiRAM_SIT_HR
1963,10.625753424657535,HiRAM_SIT_HR
1964,11.719398907103825,HiRAM_SIT_HR
1965,11.516712328767124,HiRAM_SIT_HR
1966,10.984383561643837,HiRAM_SIT_HR
1967,10.737534246575342,HiRAM_SIT_HR
1968,10.868306010928963,HiRAM_SIT_HR
1969,10.858356164383562,HiRAM_SIT_HR
1970,10.524931506849315,HiRAM_SIT_HR
1971,11.106027397260274,HiRAM_SIT_HR
1972,10.703005464480874,HiRAM_SIT_HR
1973,10.674794520547946,HiRAM_SIT_HR
1974,11.003835616438357,HiRAM_SIT_HR
1975,11.557260273972602,HiRAM_SIT_HR
1976,10.608469945355191,HiRAM_SIT_HR
1977,11.093424657534246,HiRAM_SIT_HR
1978,10.55013698630137,HiRAM_SIT_HR
1979,10.76109589041096,HiRAM_SIT_HR
1980,10.707923497267759,HiRAM_SIT_HR
1981,11.227397260273973,HiRAM_SIT_HR
1982,9.863835616438356,HiRAM_SIT_HR
1983,11.396438356164383,HiRAM_SIT_HR
1984,11.165027322404372,HiRAM_SIT_HR
1985,10.810958904109588,HiRAM_SIT_HR
1986,10.372602739726027,HiRAM_SIT_HR
1987,11.478356164383563,HiRAM_SIT_HR
1988,11.09945355191257,HiRAM_SIT_HR
1989,10.91041095890411,HiRAM_SIT_HR
1990,12.023835616438356,HiRAM_SIT_HR
1991,10.428493150684933,HiRAM_SIT_HR
1992,10.689071038251365,HiRAM_SIT_HR
1993,10.272602739726027,HiRAM_SIT_HR
1994,11.199452054794522,HiRAM_SIT_HR
1995,11.100547945205479,HiRAM_SIT_HR
1996,10.826502732240437,HiRAM_SIT_HR
1997,12.365205479452055,HiRAM_SIT_HR
1998,11.709863013698632,HiRAM_SIT_HR
1999,11.298904109589042,HiRAM_SIT_HR
2000,11.278142076502732,HiRAM_SIT_HR
2001,11.18958904109589,HiRAM_SIT_HR
2002,11.544383561643835,HiRAM_SIT_HR
2003,12.165479452054793,HiRAM_SIT_HR
2004,11.39344262295082,HiRAM_SIT_HR
2005,11.480547945205478,HiRAM_SIT_HR
2006,11.540821917808218,HiRAM_SIT_HR
2007,11.338356164383562,HiRAM_SIT_HR
2008,11.589890710382512,HiRAM_SIT_HR
2009,11.553698630136987,HiRAM_SIT_HR
2010,11.661095890410959,HiRAM_SIT_HR
2011,11.554520547945204,HiRAM_SIT_HR
2012,11.924590163934425,HiRAM_SIT_HR
2013,11.813698630136987,HiRAM_SIT_HR
2014,12.082191780821917,HiRAM_SIT_HR
2015,11.29917808219178,HiRAM_SIT_HR
2016,11.76448087431694,HiRAM_SIT_HR
2017,11.8,HiRAM_SIT_HR
2018,12.690136986301368,HiRAM_SIT_HR
2019,11.090958904109588,HiRAM_SIT_HR
2020,11.46967213114754,HiRAM_SIT_HR
2021,12.193150684931506,HiRAM_SIT_HR
2022,11.445205479452055,HiRAM_SIT_HR
2023,11.613150684931508,HiRAM_SIT_HR
2024,11.896174863387978,HiRAM_SIT_HR
2025,12.737260273972604,HiRAM_SIT_HR
2026,12.453150684931506,HiRAM_SIT_HR
2027,12.423287671232877,HiRAM_SIT_HR
2028,12.125409836065574,HiRAM_SIT_HR
2029,11.60931506849315,HiRAM_SIT_HR
2030,11.292876712328766,HiRAM_SIT_HR
2031,12.719178082191782,HiRAM_SIT_HR
2032,12.283060109289618,HiRAM_SIT_HR
2033,12.556438356164385,HiRAM_SIT_HR
2034,12.241917808219178,HiRAM_SIT_HR
2035,11.70794520547945,HiRAM_SIT_HR
2036,12.22568306010929,HiRAM_SIT_HR
2037,11.747123287671233,HiRAM_SIT_HR
2038,12.916164383561643,HiRAM_SIT_HR
2039,11.936986301369863,HiRAM_SIT_HR
2040,11.408743169398909,HiRAM_SIT_HR
2041,13.039178082191782,HiRAM_SIT_HR
2042,12.704109589041096,HiRAM_SIT_HR
2043,13.445753424657534,HiRAM_SIT_HR
2044,11.911475409836067,HiRAM_SIT_HR
2045,13.023013698630136,HiRAM_SIT_HR
2046,11.328219178082191,HiRAM_SIT_HR
2047,12.846027397260274,HiRAM_SIT_HR
2048,12.739890710382515,HiRAM_SIT_HR
2049,12.781643835616439,HiRAM_SIT_HR
2050,13.768767123287672,HiRAM_SIT_HR
1950,10.737260273972602,MRI_AGCM3_2_S
1951,11.180547945205479,MRI_AGCM3_2_S
1952,12.09207650273224,MRI_AGCM3_2_S
1953,10.922739726027398,MRI_AGCM3_2_S
1954,11.120821917808218,MRI_AGCM3_2_S
1955,10.911780821917809,MRI_AGCM3_2_S
1956,10.272131147540984,MRI_AGCM3_2_S
1957,11.28821917808219,MRI_AGCM3_2_S
1958,11.736986301369862,MRI_AGCM3_2_S
1959,11.251506849315069,MRI_AGCM3_2_S
1960,11.027868852459015,MRI_AGCM3_2_S
1961,10.933150684931507,MRI_AGCM3_2_S
1962,10.595068493150684,MRI_AGCM3_2_S
1963,10.826849315068493,MRI_AGCM3_2_S
1964,11.290163934426229,MRI_AGCM3_2_S
1965,10.785205479452054,MRI_AGCM3_2_S
1966,11.322739726027399,MRI_AGCM3_2_S
1967,10.451506849315068,MRI_AGCM3_2_S
1968,10.555737704918034,MRI_AGCM3_2_S
1969,10.258904109589041,MRI_AGCM3_2_S
1970,11.410136986301369,MRI_AGCM3_2_S
1971,10.874246575342465,MRI_AGCM3_2_S
1972,11.223224043715847,MRI_AGCM3_2_S
1973,10.9213698630137,MRI_AGCM3_2_S
1974,10.028767123287672,MRI_AGCM3_2_S
1975,11.731780821917809,MRI_AGCM3_2_S
1976,10.640710382513662,MRI_AGCM3_2_S
1977,10.723013698630137,MRI_AGCM3_2_S
1978,10.583835616438355,MRI_AGCM3_2_S
1979,11.89068493150685,MRI_AGCM3_2_S
1980,11.171584699453552,MRI_AGCM3_2_S
1981,10.205479452054794,MRI_AGCM3_2_S
1982,10.666849315068493,MRI_AGCM3_2_S
1983,10.15972602739726,MRI_AGCM3_2_S
1984,10.90792349726776,MRI_AGCM3_2_S
1985,11.06986301369863,MRI_AGCM3_2_S
1986,10.263013698630138,MRI_AGCM3_2_S
1987,11.584657534246574,MRI_AGCM3_2_S
1988,11.069945355191257,MRI_AGCM3_2_S
1989,12.368767123287672,MRI_AGCM3_2_S
1990,11.2013698630137,MRI_AGCM3_2_S
1991,10.392602739726028,MRI_AGCM3_2_S
1992,10.196448087431694,MRI_AGCM3_2_S
1993,10.386575342465752,MRI_AGCM3_2_S
1994,11.835068493150686,MRI_AGCM3_2_S
1995,11.28109589041096,MRI_AGCM3_2_S
1996,11.71584699453552,MRI_AGCM3_2_S
1997,11.312328767123288,MRI_AGCM3_2_S
1998,11.794794520547946,MRI_AGCM3_2_S
1999,10.814246575342466,MRI_AGCM3_2_S
2000,12.111202185792349,MRI_AGCM3_2_S
2001,11.82054794520548,MRI_AGCM3_2_S
2002,13.101369863013698,MRI_AGCM3_2_S
2003,11.50054794520548,MRI_AGCM3_2_S
2004,11.748360655737704,MRI_AGCM3_2_S
2005,11.774794520547946,MRI_AGCM3_2_S
2006,11.435616438356165,MRI_AGCM3_2_S
2007,12.154246575342466,MRI_AGCM3_2_S
2008,10.703005464480874,MRI_AGCM3_2_S
2009,12.31890410958904,MRI_AGCM3_2_S
2010,11.868767123287672,MRI_AGCM3_2_S
2011,11.162191780821917,MRI_AGCM3_2_S
2012,10.683333333333334,MRI_AGCM3_2_S
2013,12.46931506849315,MRI_AGCM3_2_S
2014,10.607123287671232,MRI_AGCM3_2_S
2015,12.248493150684931,MRI_AGCM3_2_S
2016,12.239344262295083,MRI_AGCM3_2_S
2017,12.401917808219178,MRI_AGCM3_2_S
2018,11.312602739726028,MRI_AGCM3_2_S
2019,12.45945205479452,MRI_AGCM3_2_S
2020,11.28551912568306,MRI_AGCM3_2_S
2021,11.326849315068493,MRI_AGCM3_2_S
2022,10.622191780821918,MRI_AGCM3_2_S
2023,12.967945205479452,MRI_AGCM3_2_S
2024,12.342896174863387,MRI_AGCM3_2_S
2025,11.512602739726029,MRI_AGCM3_2_S
2026,12.355616438356165,MRI_AGCM3_2_S
2027,10.717534246575342,MRI_AGCM3_2_S
2028,11.662568306010929,MRI_AGCM3_2_S
2029,12.859178082191782,MRI_AGCM3_2_S
2030,12.789041095890411,MRI_AGCM3_2_S
2031,12.603835616438355,MRI_AGCM3_2_S
2032,12.020765027322405,MRI_AGCM3_2_S
2033,12.91041095890411,MRI_AGCM3_2_S
2034,12.812876712328766,MRI_AGCM3_2_S
2035,11.46109589041096,MRI_AGCM3_2_S
2036,12.762841530054644,MRI_AGCM3_2_S
2037,12.655890410958904,MRI_AGCM3_2_S
2038,12.013972602739727,MRI_AGCM3_2_S
2039,13.076438356164383,MRI_AGCM3_2_S
2040,13.058743169398907,MRI_AGCM3_2_S
2041,13.148767123287671,MRI_AGCM3_2_S
2042,13.233972602739724,MRI_AGCM3_2_S
2043,13.055068493150685,MRI_AGCM3_2_S
2044,13.474590163934426,MRI_AGCM3_2_S
2045,13.203287671232877,MRI_AGCM3_2_S
2046,12.55972602739726,MRI_AGCM3_2_S
2047,13.195890410958905,MRI_AGCM3_2_S
2048,12.423224043715846,MRI_AGCM3_2_S
2049,12.768767123287672,MRI_AGCM3_2_S
2050,13.802191780821918,MRI_AGCM3_2_S
1950,10.466301369863013,EC_Earth3P_HR
1951,11.20082191780822,EC_Earth3P_HR
1952,11.271857923497267,EC_Earth3P_HR
1953,12.304383561643837,EC_Earth3P_HR
1954,10.10986301369863,EC_Earth3P_HR
1955,11.376986301369865,EC_Earth3P_HR
1956,11.151092896174864,EC_Earth3P_HR
1957,11.687397260273972,EC_Earth3P_HR
1958,10.509041095890412,EC_Earth3P_HR
1959,10.868219178082192,EC_Earth3P_HR
1960,10.445901639344262,EC_Earth3P_HR
1961,11.755068493150686,EC_Earth3P_HR
1962,11.522739726027398,EC_Earth3P_HR
1963,11.004657534246574,EC_Earth3P_HR
1964,10.138251366120219,EC_Earth3P_HR
1965,11.050958904109589,EC_Earth3P_HR
1966,11.794794520547946,EC_Earth3P_HR
1967,10.785753424657536,EC_Earth3P_HR
1968,11.616120218579235,EC_Earth3P_HR
1969,10.15808219178082,EC_Earth3P_HR
1970,11.272054794520548,EC_Earth3P_HR
1971,9.362465753424658,EC_Earth3P_HR
1972,10.332513661202185,EC_Earth3P_HR
1973,12.052602739726026,EC_Earth3P_HR
1974,11.26027397260274,EC_Earth3P_HR
1975,11.356438356164384,EC_Earth3P_HR
1976,11.349180327868853,EC_Earth3P_HR
1977,11.307123287671233,EC_Earth3P_HR
1978,10.08931506849315,EC_Earth3P_HR
1979,10.789041095890411,EC_Earth3P_HR
1980,10.681967213114755,EC_Earth3P_HR
1981,10.563561643835616,EC_Earth3P_HR
1982,10.222465753424657,EC_Earth3P_HR
1983,9.979452054794521,EC_Earth3P_HR
1984,11.141530054644809,EC_Earth3P_HR
1985,10.230684931506849,EC_Earth3P_HR
1986,11.106301369863015,EC_Earth3P_HR
1987,11.104931506849315,EC_Earth3P_HR
1988,10.80136612021858,EC_Earth3P_HR
1989,11.670958904109588,EC_Earth3P_HR
1990,10.32027397260274,EC_Earth3P_HR
1991,9.973424657534247,EC_Earth3P_HR
1992,10.544262295081968,EC_Earth3P_HR
1993,11.354246575342467,EC_Earth3P_HR
1994,11.925479452054795,EC_Earth3P_HR
1995,12.302465753424656,EC_Earth3P_HR
1996,11.204371584699453,EC_Earth3P_HR
1997,10.438630136986301,EC_Earth3P_HR
1998,11.191780821917808,EC_Earth3P_HR
1999,11.474520547945206,EC_Earth3P_HR
2000,11.685245901639345,EC_Earth3P_HR
2001,11.638082191780821,EC_Earth3P_HR
2002,12.076712328767123,EC_Earth3P_HR
2003,11.77780821917808,EC_Earth3P_HR
2004,12.198907103825137,EC_Earth3P_HR
2005,11.8786301369863,EC_Earth3P_HR
2006,11.29205479452055,EC_Earth3P_HR
2007,12.316712328767125,EC_Earth3P_HR
2008,12.88087431693989,EC_Earth3P_HR
2009,11.204657534246575,EC_Earth3P_HR
2010,10.67917808219178,EC_Earth3P_HR
2011,10.124657534246575,EC_Earth3P_HR
2012,11.353278688524592,EC_Earth3P_HR
2013,12.133972602739725,EC_Earth3P_HR
2014,11.801369863013699,EC_Earth3P_HR
2015,11.69205479452055,EC_Earth3P_HR
2016,12.242622950819673,EC_Earth3P_HR
2017,11.766027397260276,EC_Earth3P_HR
2018,10.490136986301371,EC_Earth3P_HR
2019,12.36,EC_Earth3P_HR
2020,12.891530054644809,EC_Earth3P_HR
2021,12.047397260273973,EC_Earth3P_HR
2022,11.694246575342465,EC_Earth3P_HR
2023,12.328493150684931,EC_Earth3P_HR
2024,12.633060109289618,EC_Earth3P_HR
2025,12.606301369863015,EC_Earth3P_HR
2026,12.687945205479453,EC_Earth3P_HR
2027,12.57068493150685,EC_Earth3P_HR
2028,12.527049180327868,EC_Earth3P_HR
2029,12.732876712328768,EC_Earth3P_HR
2030,14.2986301369863,EC_Earth3P_HR
2031,13.300547945205478,EC_Earth3P_HR
2032,12.155737704918034,EC_Earth3P_HR
2033,11.651780821917807,EC_Earth3P_HR
2034,12.448767123287672,EC_Earth3P_HR
2035,11.68876712328767,EC_Earth3P_HR
2036,12.188524590163935,EC_Earth3P_HR
2037,13.428219178082193,EC_Earth3P_HR
2038,12.248219178082193,EC_Earth3P_HR
2039,12.181369863013698,EC_Earth3P_HR
2040,13.513387978142076,EC_Earth3P_HR
2041,12.55095890410959,EC_Earth3P_HR
2042,12.795616438356163,EC_Earth3P_HR
2043,12.861643835616439,EC_Earth3P_HR
2044,12.68415300546448,EC_Earth3P_HR
2045,13.810684931506849,EC_Earth3P_HR
2046,12.763287671232877,EC_Earth3P_HR
2047,13.621643835616437,EC_Earth3P_HR
2048,13.357923497267759,EC_Earth3P_HR
2049,13.213698630136987,EC_Earth3P_HR
1950,11.291506849315068,MPI_ESM1_2_XR
1951,10.336986301369864,MPI_ESM1_2_XR
